time,Beech,Spruce
2024-09-13 08:50:00,27.35002091607936,6.615089156372676
2024-09-13 09:00:00,27.358569301855123,6.615457051924928
2024-09-13 09:10:00,27.366077609124424,6.615320835871422
2024-09-13 09:20:00,27.37475146261625,6.61731474728067
2024-09-13 09:30:00,27.38659777589854,6.622003754610089
2024-09-13 09:40:00,27.39642471124554,6.623177937346469
2024-09-13 09:50:00,27.405297464341498,6.623191116764958
2024-09-13 10:00:00,27.41345806598677,6.622633982227213
2024-09-13 10:10:00,27.422286524864397,6.62454679627838
2024-09-13 10:20:00,27.43420511129298,6.629324884675
2024-09-13 10:30:00,27.444257853223004,6.630372689713102
2024-09-13 10:40:00,27.453393265185735,6.630235368405586
2024-09-13 10:50:00,27.46175044214704,6.629539564135027
2024-09-13 11:00:00,27.46915744315958,6.628532249145004
2024-09-13 11:10:00,27.477501206717847,6.630422557275156
2024-09-13 11:20:00,27.488511814532885,6.635371080023557
2024-09-13 11:30:00,27.498726688120176,6.638889286858283
2024-09-13 11:40:00,27.510724600982677,6.644230596156308
2024-09-13 11:50:00,27.522753465399564,6.649677822645663
2024-09-13 12:00:00,27.540989018199873,6.661077169591814
2024-09-13 12:10:00,27.559870486783808,6.672812781810852
2024-09-13 12:20:00,27.581714845909005,6.687754389120839
2024-09-13 12:30:00,27.60260445703315,6.701321553919928
2024-09-13 12:40:00,27.626140237632438,6.717404614832619
2024-09-13 12:50:00,27.648336387066962,6.7317806235312565
2024-09-13 13:00:00,27.672609650415854,6.748155567815971
2024-09-13 13:10:00,27.692777353092787,6.7603502286369235
2024-09-13 13:20:00,27.7109031289478,6.77155059129825
2024-09-13 13:30:00,27.725627266526622,6.779919164727777
2024-09-13 13:40:00,27.73638840970026,6.785207987865964
2024-09-13 13:50:00,27.750573946744847,6.794349375581218
2024-09-13 14:00:00,27.765142008361064,6.801819088147036
2024-09-13 14:10:00,27.777405858873497,6.806507593177989
2024-09-13 14:20:00,27.79302645150455,6.81519048197713
2024-09-13 14:30:00,27.80829359790254,6.822428375797213
2024-09-13 14:40:00,27.82091306193734,6.826934443848074
2024-09-13 14:50:00,27.83683983415706,6.835465103435443
2024-09-13 15:00:00,27.852381777140064,6.8426109603013785
2024-09-13 15:10:00,27.8651551885051,6.847040747973913
2024-09-13 15:20:00,27.88103733769874,6.855487489524882
2024-09-13 15:30:00,27.898181166304386,6.864937812146699
2024-09-13 15:40:00,27.915715692685986,6.874713738093447
2024-09-13 15:50:00,27.935306477206385,6.887269686483381
2024-09-13 16:00:00,27.958406397348874,6.902849120156319
2024-09-13 16:10:00,27.980373378110972,6.917124732376821
2024-09-13 16:20:00,28.004749304475638,6.933801267450239
2024-09-13 16:30:00,28.027181999564327,6.948453630554809
2024-09-13 16:40:00,28.05359653726435,6.968048973077468
2024-09-13 16:50:00,28.081128542775964,6.988946330743836
2024-09-13 17:00:00,28.108839016082232,7.010519186906246
2024-09-13 17:10:00,28.138658536660923,7.0351646371249
2024-09-13 17:20:00,28.170901551413646,7.06264363858622
2024-09-13 17:30:00,28.198146541445507,7.0861048338032155
2024-09-13 17:40:00,28.224007402370248,7.1091347815623465
2024-09-13 17:50:00,28.25089010006083,7.131602892481598
2024-09-13 18:00:00,28.276877458879962,7.15065613155393
2024-09-13 18:10:00,28.300739487518484,7.166627297660286
2024-09-13 18:20:00,28.327880628524625,7.183905187621079
2024-09-13 18:30:00,28.352018371445283,7.196033918173939
2024-09-13 18:40:00,28.375416468366403,7.207057480670532
2024-09-13 18:50:00,28.399787690798572,7.220454738316519
2024-09-13 19:00:00,28.42591804455457,7.236440249504788
2024-09-13 19:10:00,28.448979051084006,7.2508716849535855
2024-09-13 19:20:00,28.473643838993365,7.267381671130576
2024-09-13 19:30:00,28.496060377304975,7.282081331532296
2024-09-13 19:40:00,28.520418899973365,7.2987251110507625
2024-09-13 19:50:00,28.542627948891564,7.3134831594427485
2024-09-13 20:00:00,28.56681887586182,7.330149323200672
2024-09-13 20:10:00,28.588874843107384,7.344904498342367
2024-09-13 20:20:00,28.612926165904742,7.36155521566139
2024-09-13 20:30:00,28.632669775999133,7.373343700997713
2024-09-13 20:40:00,28.653328898120854,7.387110879887975
2024-09-13 20:50:00,28.67898646287749,7.406277799900545
2024-09-13 21:00:00,28.70845180459715,7.429761149571444
