depth_index,Beech_Soil,Spruce_Soil,Beech_Tree,Spruce_Tree,Beech_Tree_Profile,Spruce_Tree_Profile
87,0.00016637774865278942,8.219959052835786e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
88,0.0002718943888048964,8.222455384960921e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
89,0.00037999224682262864,8.224952565920366e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
90,0.0004907451258205344,8.22745059603765e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
91,0.0006042293789633617,8.229949475636496e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
92,0.0007205240137586343,8.23244920504074e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
93,0.0008397108012931745,8.234949784574397e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
94,0.0009618743906803112,8.237451214561516e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
95,0.0010871024290013216,8.239953495326379e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
96,0.0012154856870414921,8.242456627193382e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
97,0.0013471181911399641,8.244960610487039e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
98,0.0014820973614920424,8.247465445532027e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
99,0.0016205241572640789,8.249971132653142e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
100,0.0017625032289032127,8.252477672175304e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
101,0.0019081430780488178,8.25498506442362e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
102,0.002057556225478007,8.257493309723295e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
103,0.002210859387545267,8.260002408399683e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
104,0.005035625888843958,7.387528545423444e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
105,0.005166012968625836,7.400821177712115e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
106,0.005299399025805585,7.414141495533656e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
107,0.00543586587691122,7.427489564807156e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
108,0.0055754980188988485,7.440865451628903e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
109,0.005718382732687434,7.4542692222728855e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
