# OPTIMALIZATION LOG --- STAGE 1 --- 2026-02-18 23:49:31 
call_id,timestamp,error,error_heat,error_moist,b1_org[W/(m.K)],b2_org[W/(m.K)],b3_org[W/(m.K)],b1_min[W/(m.K)],b2_min[W/(m.K)],b3_min[W/(m.K)],albedo[-],alpha_org[1/m],n_org[-],K_org[m/s],alpha_min[1/m],n_min[-],K_min[m/s],S_max[m/s]
3,2026-02-19 00:51:18,7.2939426,3.2060288,3.476653,6.6760742,7.573107,5.3917695,5.3858201,9.9774463,7.989522,0.11071826,0.62824257,1.7438172,-5.0004579,0.43702665,3.5238638,-6.3320403,8.9740719e-08
53,2026-02-19 00:53:06,7.6776849,3.422759,3.4764532,7.9606158,3.0932823,6.4810854,4.3429036,4.2109804,1.693425,0.053722302,0.086038672,2.2945626,-3.5657921,0.24749432,2.8121078,-4.2958252,3.5378174e-08
54,2026-02-19 00:54:47,7.1764327,3.0804932,3.6801402,5.6806521,7.1215207,7.7111621,5.033512,8.51201,7.6033129,0.25881233,0.66176669,1.3761487,-6.9513204,0.99407761,2.2506355,-6.6035169,6.586198e-08
49,2026-02-19 00:55:56,7.3965474,3.2679748,3.462698,8.2207224,3.825788,4.9187667,1.1887197,1.7529737,4.7995803,0.17665944,0.23921453,2.2011136,-6.2984428,0.73494379,3.4545335,-6.9442617,1.3943585e-08
56,2026-02-19 00:58:33,7.3884825,3.2448849,3.5316513,2.7141157,3.0018237,8.7976137,0.39123039,8.8373514,2.9136682,0.079401062,0.0068972517,2.5246354,-5.7175998,0.60436176,2.6945569,-5.9033689,6.462541e-08
57,2026-02-19 00:59:56,6.5981362,2.8060301,3.4698964,2.3357294,7.2314458,6.7030294,5.7483503,1.4028317,3.3277961,0.24553373,0.80075955,1.4842363,-3.2692543,0.15693993,3.1799754,-5.1399493,6.2880746e-08
58,2026-02-19 01:01:06,6.7617095,3.169703,2.3521576,8.7934736,8.8081528,1.5901129,7.6839604,7.5370404,4.7671417,0.22424553,0.050252771,1.3001046,-4.5160981,0.86048226,1.3088906,-7.6285198,6.1220672e-08
59,2026-02-19 01:03:43,4.9959842,2.1297535,2.610835,0.93794698,6.2056646,3.5737057,6.6721359,4.6059479,5.2214404,0.28365005,0.5163557,1.6347206,-7.5223529,0.18827615,1.5269525,-7.9553895,4.1200509e-08
60,2026-02-19 01:05:44,6.8816397,2.9082453,3.6776899,3.1655229,6.4568477,8.3269195,9.0158099,7.3215591,5.0151874,0.073854162,0.69014721,2.0424033,-7.3251708,0.49959551,2.7449298,-3.839762,2.1696301e-08
62,2026-02-19 01:10:11,7.3108397,3.1599605,3.6751836,9.2849385,6.849227,0.80656475,8.7314398,3.0507405,5.8569447,0.076420874,0.27412318,3.9322124,-7.2532076,0.30498155,2.541747,-4.3248725,5.4118155e-08
63,2026-02-19 01:10:53,6.2233017,2.8099774,2.6731243,2.5735209,5.1601991,0.93002984,8.2117149,8.978782,3.796127,0.26787337,0.60644156,3.1774605,-6.4549481,0.22707078,1.6206708,-3.9186062,4.9987382e-08
4,2026-02-19 01:13:31,7.3897308,3.247004,3.5264686,8.9744817,2.3022653,7.7379636,3.0594948,0.98786093,8.6009989,0.25250649,0.91822909,1.8773575,-4.7396633,0.66191096,3.4810912,-5.7782694,4.9360991e-08
64,2026-02-19 01:15:23,7.3769783,3.2480372,3.4958298,5.393374,4.8612884,2.10558,3.3462894,4.1277145,6.056005,0.080791584,0.011720551,2.4466199,-4.4652303,0.52665925,3.0585764,-6.5146334,7.7099408e-08
48,2026-02-19 01:19:14,7.4934541,3.2634302,3.6812972,8.8286582,3.5461334,8.4570132,4.9498352,7.7868028,6.7718153,0.21438452,0.09665201,3.6030676,-6.126782,0.93496994,3.3733105,-4.3759596,9.0228859e-08
67,2026-02-19 01:20:33,7.2746649,3.2159051,3.3989066,6.9547878,4.1233007,7.5247292,4.6146272,3.3206346,8.285245,0.23656647,0.42534041,2.1943246,-6.7702199,0.089689453,2.6202012,-7.5570392,8.1115712e-08
68,2026-02-19 01:24:21,6.9283434,3.0514991,3.2795359,3.2492892,1.8799965,0.6862142,5.6001189,7.4046578,8.4884961,0.29439793,0.75338181,1.915132,-4.4005206,0.67598758,2.5999052,-6.5895391,1.2925491e-08
69,2026-02-19 01:25:38,7.3869767,3.2810618,3.3920436,3.9637004,9.5244234,8.7634319,2.8556959,1.9696797,0.60101249,0.077437606,0.71312533,1.9865073,-4.2196575,0.72429006,2.8430678,-7.076571,9.1697079e-08
70,2026-02-19 01:29:26,6.3019464,2.9060819,2.4358327,4.5493688,9.4282293,2.6876377,5.1679356,9.4157979,9.9464413,0.21205175,0.54409437,2.7895884,-3.4450177,0.35199097,3.3217218,-5.7268893,3.6315711e-08
71,2026-02-19 01:30:45,7.6451814,3.5738205,2.7129369,8.4261676,7.0831496,6.1001403,1.6674257,2.9751036,1.5458364,0.056272259,0.67225329,2.1662031,-4.8829954,0.026965949,2.3840583,-4.5714932,3.1645092e-08
72,2026-02-19 01:34:30,6.3238203,2.8600761,2.696398,0.4300486,8.3032937,2.932161,6.3767611,1.1098566,6.3360851,0.19316684,0.099174297,3.3740595,-3.227703,0.62119079,1.8839783,-7.7650062,7.8466948e-09
47,2026-02-19 02:11:20,6.8932057,2.9404634,3.5959678,1.8626063,1.1138209,9.6230427,9.2761383,4.9063415,3.7136721,0.15238398,0.8829825,1.3399872,-4.9332063,0.74243168,3.5570235,-6.2681982,5.8052037e-08
76,2026-02-19 10:59:18,6.8507261,2.9620268,3.440645,2.4031547,7.272393,0.33262386,1.0720667,4.7908343,0.75703929,0.27677786,0.27020344,3.4414267,-5.575259,0.42652456,3.8292948,-3.9612987,3.3197903e-08
