# OPTIMALIZATION LOG --- STAGE 1 --- 2026-02-19 20:27:24 
call_id,timestamp,error,error_heat,error_moist,b1_org[W/(m.K)],b2_org[W/(m.K)],b3_org[W/(m.K)],b1_min[W/(m.K)],b2_min[W/(m.K)],b3_min[W/(m.K)],albedo[-],alpha_org[1/m],n_org[-],K_org[m/s],alpha_min[1/m],n_min[-],K_min[m/s],S_max[m/s]
74,2026-02-19 22:56:16,10.683299,7.754265,7.348759,1.8228792,4.4685805,0.88323197,1.9567076,4.04181,3.0844535,0.2866157,0.3164326,1.6000542,-5.1701899,0.28338594,4.176121,-3.7297332,-7.4358364
77,2026-02-19 23:05:28,9.5523633,6.1486402,7.3103946,0.29909424,1.3250976,1.2287854,0.98151311,5.888716,4.6204443,0.17677375,0.7760825,1.2923405,-5.5489717,0.418568,3.2643174,-6.0971105,-7.0353641
65,2026-02-19 23:13:09,9.6186882,8.4531923,4.5894121,2.3086746,6.2660903,5.3318853,2.3064759,1.4097243,1.894972,0.12142871,0.97499609,1.8868766,-4.2512638,0.18756993,4.6442341,-6.5837113,-8.0490704
79,2026-02-19 23:22:37,10.525955,7.5247705,7.3602682,1.7061068,2.7459186,2.0797873,0.46719444,4.874441,4.301546,0.14288667,0.27613999,1.2883974,-4.1528455,0.31986146,4.8313128,-5.2608688,-7.8013749
80,2026-02-19 23:31:51,10.865154,8.026005,7.3235795,2.1017113,6.4152858,4.5342246,1.7561931,1.7658431,2.7279236,0.2477089,0.39897649,1.2277316,-6.585587,0.29784572,3.671157,-3.5163733,-7.9596384
23,2026-02-19 23:40:07,10.588839,7.6219367,7.3504828,0.21523276,2.1137337,4.9562549,0.64125057,2.728515,1.4071553,0.22534414,0.072285728,1.5102687,-6.1275757,0.82624907,4.4886269,-6.5312355,-7.8458228
61,2026-02-19 23:46:54,10.690015,7.750488,7.362497,0.80894431,4.5688608,3.4456583,1.2240298,5.9309485,3.4669075,0.27948177,0.064654992,1.4423352,-7.3438157,0.13448317,4.1446785,-5.953517,-6.9556864
82,2026-02-19 23:49:21,10.766574,8.1062369,7.0857627,1.4403069,2.4185695,5.7376444,1.2653646,3.6280538,3.0363792,0.15031732,0.32447386,1.7631032,-3.4628484,0.63262627,2.3462203,-4.3257031,-8.2874931
75,2026-02-19 23:54:01,10.723725,8.1503313,6.969245,2.296118,5.1972381,4.8620556,1.9037115,1.5117413,0.09075985,0.26951362,0.43789607,1.3429456,-6.6192449,0.14538519,3.8605386,-7.8583941,-7.218798
83,2026-02-19 23:56:14,11.04662,8.3163609,7.2708973,0.97031147,6.5217221,2.7480829,1.721502,7.6535019,2.5490705,0.088240769,0.37677787,1.3397843,-7.5082357,0.45000887,2.9859114,-4.5246327,-6.1059346
85,2026-02-20 00:03:21,9.8993233,6.8009693,7.1932898,1.0641905,1.3653201,0.76133495,0.033842457,0.21857681,0.85962618,0.29911346,0.056448155,1.8378999,-5.9701826,0.36580338,2.8913824,-5.0865169,-8.3022311
86,2026-02-20 00:05:55,10.919818,8.1228647,7.2980466,2.0093734,4.5331239,5.3491169,0.031546514,2.5621366,3.5196995,0.16864564,0.58007429,1.6316751,-5.5870344,0.47259328,3.0789492,-4.0547602,-7.7705797
87,2026-02-20 00:12:32,11.457467,9.0083206,7.0798096,1.1663127,3.3621087,2.4646083,2.765996,3.7421376,0.48623568,0.28118136,0.40892491,1.0995629,-3.808331,0.2335835,2.920578,-5.3798628,-8.6304582
88,2026-02-20 00:15:10,10.992475,8.2206113,7.297674,2.7762054,0.68265238,1.3334295,1.2128903,6.7379013,1.791411,0.1029467,0.77185909,1.121011,-4.3247634,0.049758879,4.2719809,-6.0251406,-8.2611722
89,2026-02-20 00:22:13,8.1311126,3.9798399,7.0905477,0.028506383,0.45002174,3.030476,1.2013379,0.36847172,2.7143506,0.16017008,0.15787805,1.9920558,-7.5707298,0.57613384,2.4125125,-4.5020484,-6.5209946
91,2026-02-20 00:31:27,9.8397996,6.5336985,7.3574751,0.1492627,6.0228129,1.1175801,2.0610621,0.9143465,2.8600462,0.10701999,0.24547063,1.5757153,-6.7049977,0.89956035,3.2133891,-3.2915558,-6.7591766
90,2026-02-20 00:32:57,10.636212,7.6897861,7.3482102,0.63485631,0.4184765,5.1592557,2.363141,2.5060485,4.5671087,0.23119379,0.020676251,1.5690245,-6.5648752,0.47646985,3.1491167,-5.4624467,-6.5408217
92,2026-02-20 00:40:42,11.301431,8.6650785,7.2552572,2.5239263,0.72275995,3.8106881,0.68819273,4.4850368,5.8929642,0.20526686,0.47954896,1.9142528,-4.4060144,0.39205423,3.029218,-6.1511551,-7.0166011
39,2026-02-20 00:43:54,10.773726,8.2630917,6.9133561,0.64899923,7.8609406,1.9788509,2.3475968,6.8023801,0.36056217,0.066058518,0.18513094,1.2165646,-4.3765574,0.18082988,4.7580448,-5.996454,-7.5296931
95,2026-02-20 00:53:08,10.953203,8.1150727,7.356511,1.8851215,0.97160379,3.355527,1.8903888,3.7008859,3.4492522,0.12523243,0.67550171,1.1779454,-6.0153676,0.59146936,3.6889859,-3.0633933,-6.9940315
21,2026-02-20 00:57:56,11.15346,8.5358278,7.1790887,1.9534191,4.6340146,2.8889951,2.5948076,6.8424852,1.8210371,0.22257156,0.1652153,1.5467892,-6.8815802,0.84402618,4.4319317,-6.4516922,-7.6643923
96,2026-02-20 01:02:24,10.99842,8.5570802,6.9095307,1.0129322,3.873446,5.6261338,0.2101332,1.2364294,5.9409566,0.1522044,0.58138688,1.7363002,-5.6676008,0.20102997,2.7593873,-3.8737134,-6.2933067
100,2026-02-20 01:21:22,10.165618,7.5214412,6.838692,2.9978188,3.6970984,4.355399,0.28745368,4.3505173,1.4880847,0.084866388,0.38905611,1.3892492,-4.2345368,0.33118926,2.4720327,-5.155341,-8.6018811
101,2026-02-20 01:27:40,11.093841,8.3470429,7.3075425,2.2841473,5.8481605,0.19022609,1.5156926,5.0782654,5.7677352,0.29456431,0.058787953,1.7159051,-7.275227,0.34928996,3.3936428,-4.0205889,-7.1525094
102,2026-02-20 01:30:37,11.549413,8.9012451,7.3591292,2.3548221,2.3391703,1.2579436,2.5673937,1.1873864,0.046280229,0.079076713,0.20517803,1.9241773,-6.8177101,0.46608158,4.1942312,-4.3973935,-7.557077
