# campaign: 2024-09-08 00:00:00+00:00 2024-09-30 00:00:00+00:00
# time[s] T_15cm[˚C]
70200.0 22.604166666666668
70800.0 22.555555555555554
71400.0 22.506944444444446
72000.0 22.458333333333332
72600.0 22.368055555555557
73200.0 22.277777777777775
73800.0 22.1875
74400.0 22.083333333333332
75000.0 21.979166666666668
75600.0 21.875
76200.0 21.79861111111111
76800.0 21.722222222222225
77400.0 21.645833333333332
78000.0 21.48611111111111
78600.0 21.32638888888889
79200.0 21.166666666666668
79800.0 21.07638888888889
80400.0 20.98611111111111
81000.0 20.895833333333332
81600.0 20.840277777777775
82200.0 20.784722222222225
82800.0 20.729166666666668
83400.0 20.569444444444443
84000.0 20.409722222222225
84600.0 20.25
85200.0 19.965277777777775
85800.0 19.680555555555557
86400.0 19.395833333333332
87000.0 19.527777777777775
87600.0 19.659722222222225
88200.0 19.791666666666668
88800.0 19.45138888888889
89400.0 19.11111111111111
90000.0 18.770833333333332
90600.0 18.78472222222222
91200.0 18.79861111111111
91800.0 18.8125
92400.0 18.4375
93000.0 18.0625
93600.0 17.6875
94200.0 17.555555555555557
94800.0 17.42361111111111
95400.0 17.291666666666668
96000.0 17.27777777777778
96600.0 17.26388888888889
97200.0 17.25
97800.0 17.208333333333332
98400.0 17.166666666666668
99000.0 17.125
99600.0 17.0
100200.0 16.875
100800.0 16.75
101400.0 16.590277777777775
102000.0 16.430555555555557
102600.0 16.270833333333332
103200.0 16.22222222222222
103800.0 16.17361111111111
104400.0 16.125
105000.0 16.166666666666668
105600.0 16.208333333333332
106200.0 16.25
106800.0 16.23611111111111
107400.0 16.222222222222225
108000.0 16.208333333333332
108600.0 15.638888888888888
109200.0 15.069444444444445
109800.0 14.5
110400.0 14.145833333333334
111000.0 13.791666666666666
111600.0 13.4375
112200.0 13.1875
112800.0 12.9375
113400.0 12.6875
114000.0 12.694444444444445
114600.0 12.701388888888888
115200.0 12.708333333333334
115800.0 12.729166666666666
116400.0 12.75
117000.0 12.770833333333334
117600.0 12.847222222222223
118200.0 12.923611111111109
118800.0 13.0
119400.0 13.138888888888888
120000.0 13.277777777777779
120600.0 13.416666666666666
121200.0 13.791666666666666
121800.0 14.166666666666666
122400.0 14.541666666666666
123000.0 14.527777777777779
123600.0 14.513888888888888
124200.0 14.5
124800.0 14.583333333333334
125400.0 14.666666666666666
126000.0 14.75
126600.0 14.805555555555555
127200.0 14.861111111111112
127800.0 14.916666666666666
128400.0 15.0625
129000.0 15.208333333333334
129600.0 15.354166666666666
130200.0 15.333333333333334
130800.0 15.3125
131400.0 15.291666666666666
132000.0 15.347222222222221
132600.0 15.402777777777779
133200.0 15.458333333333334
133800.0 15.756944444444443
134400.0 16.055555555555554
135000.0 16.354166666666668
135600.0 16.3125
136200.0 16.270833333333332
136800.0 16.229166666666668
137400.0 16.284722222222225
138000.0 16.340277777777775
138600.0 16.395833333333332
139200.0 16.34722222222222
139800.0 16.29861111111111
140400.0 16.25
141000.0 16.20138888888889
141600.0 16.15277777777778
142200.0 16.104166666666668
142800.0 16.118055555555554
143400.0 16.131944444444446
144000.0 16.145833333333332
144600.0 16.01388888888889
145200.0 15.881944444444445
145800.0 15.75
146400.0 15.590277777777779
147000.0 15.430555555555555
147600.0 15.270833333333334
148200.0 15.222222222222223
148800.0 15.173611111111109
149400.0 15.125
150000.0 15.083333333333334
150600.0 15.041666666666666
151200.0 15.0
151800.0 14.895833333333334
152400.0 14.791666666666666
153000.0 14.6875
153600.0 14.583333333333334
154200.0 14.479166666666666
154800.0 14.375
155400.0 14.263888888888891
156000.0 14.152777777777777
156600.0 14.041666666666666
157200.0 13.944444444444445
157800.0 13.847222222222221
158400.0 13.75
159000.0 13.666666666666666
159600.0 13.583333333333334
160200.0 13.5
160800.0 13.458333333333334
161400.0 13.416666666666666
162000.0 13.375
162600.0 13.326388888888891
163200.0 13.277777777777777
163800.0 13.229166666666666
164400.0 13.194444444444445
165000.0 13.159722222222221
165600.0 13.125
166200.0 13.166666666666666
166800.0 13.208333333333334
167400.0 13.25
168000.0 13.208333333333334
168600.0 13.166666666666666
169200.0 13.125
169800.0 13.208333333333334
170400.0 13.291666666666666
