# OPTIMISATION LOG --- BEECH BROAD --- 2026-07-06 17:50:35
call_id,timestamp,error,error_heat,error_moist,b1_org[W/(m.K)],b2_org[W/(m.K)],b3_org[W/(m.K)],b1_min[W/(m.K)],b2_min[W/(m.K)],b3_min[W/(m.K)],albedo[-],alpha_org[1/m],n_org[-],K_org[m/s],alpha_min[1/m],n_min[-],K_min[m/s],S_max[m/s]
76,2026-07-06 18:36:18,3.5748868,3.0238013,1.9069455,1.5477989,6.602517,4.3646215,0.85921748,4.8695943,2.7692268,0.060154753,5.0714146,3.0118938,6.8854324e-05,1.1245925,1.9280059,1.6718317e-07,2.2016625e-09
81,2026-07-06 18:38:00,3.2482435,3.1169323,0.91423139,1.2152872,7.2244,3.4587707,0.84468276,5.5664504,2.6815138,0.055587622,2.021641,4.2057104,1.2432538e-05,2.5601188,1.7677988,1.0235208e-05,3.1658122e-09
82,2026-07-06 18:38:17,3.7999244,3.4603813,1.5700912,1.7996313,7.8304395,0.82674353,1.5429943,0.61122453,4.4216623,0.051876064,1.4341882,2.8959433,1.2606906e-07,3.5782826,1.6120392,2.44269e-05,1.4921334e-09
83,2026-07-06 18:38:58,3.7048515,3.3130612,1.6581769,1.296381,0.99316055,4.4846992,0.96578214,1.711303,5.6447932,0.20070249,8.4703255,2.453354,8.2594536e-07,2.7669445,1.7938767,1.1781368e-05,1.2240234e-08
90,2026-07-06 18:40:26,3.9721621,3.3003411,2.2103892,1.4961744,4.3613526,0.58383061,0.39168404,2.4831386,4.9990963,0.13241304,2.233121,3.9695408,0.00017791447,9.4849267,1.8936296,8.2809524e-05,1.8511844e-09
89,2026-07-06 18:40:26,3.917611,3.5070927,1.7458456,1.9465386,7.7548718,1.9050399,1.9061269,5.4399668,0.99531841,0.078485518,1.6415643,3.9839194,9.9910245e-08,3.1534424,1.6973183,9.1335175e-07,2.6930327e-09
93,2026-07-06 18:43:05,4.7099586,3.6953487,2.9202925,1.645334,5.8062969,0.17443029,0.95613451,3.205803,5.6777527,0.20492264,1.5826469,4.377961,4.8020948e-05,2.3813565,1.9694996,2.4501765e-08,2.9503117e-08
94,2026-07-06 18:44:14,4.2678858,3.2711827,2.7412065,0.27689164,2.7733865,2.6862053,0.61677965,3.6808758,4.6732,0.18117172,2.992132,2.6301101,7.8700451e-06,9.8671859,1.4255432,4.8439168e-07,4.5687931e-08
95,2026-07-06 18:45:37,4.5532916,3.6763999,2.6863634,1.1310419,6.2415452,0.36588072,1.2193238,2.6698638,3.8183379,0.22132406,2.4734469,3.7374951,0.0004623159,8.3472791,1.651716,1.2933715e-07,1.1818992e-08
96,2026-07-06 18:45:57,4.9577138,3.5238041,3.4873673,0.24279009,7.9299047,3.6254108,0.56358098,6.6466355,0.73016901,0.17128732,1.8721739,4.2940322,5.9420637e-07,1.1681109,1.8051464,1.1172339e-08,5.52271e-08
100,2026-07-06 18:47:50,4.0440515,3.2909663,2.3502965,0.038401174,2.236939,4.6922352,0.24477569,2.0715896,1.8165686,0.093168895,1.429446,4.41963,1.2673497e-05,4.7489577,1.7111342,9.7663788e-07,5.1597942e-09
101,2026-07-06 18:47:54,4.2410992,3.5672403,2.2938437,0.90423665,2.0458133,5.7833344,1.9245489,3.3489782,5.2218203,0.28705464,1.4167461,4.988301,2.2924352e-06,8.1354877,1.6001575,1.8377998e-05,1.3655183e-08
104,2026-07-06 18:48:44,2.2131367,1.7657332,1.3342265,0.30071079,3.3713601,4.9137215,1.8867297,5.2618072,3.4665933,0.14682863,2.3793839,3.7304527,7.494494e-05,2.9922274,1.3200001,3.0047819e-05,6.2030861e-09
