b1_org,b2_org,b3_org,b1_min,b2_min,b3_min,albedo,log10_alpha_org,n_org,log10_K_org,log10_alpha_min,n_min,log10_K_min,log10_S_max,error,error_heat,error_moist
1.3399999999999999,0.02,6.0,2.0,2.6800000000000006,4.006666666666667,0.21666666666666667,0.33333333333333337,3.166666666666667,-3.0,0.6666666666666666,1.6833333333333333,-3.0,-6.0,4.899613681474656,3.1056797852039053,3.78958669243355
1.3399999999999999,0.02,6.0,2.0,8.0,4.006666666666667,0.21666666666666667,0.33333333333333337,3.166666666666667,-3.0,0.6666666666666666,1.6833333333333333,-3.0,-6.0,4.8975128863444475,3.1023644318979446,3.7895867061731767
1.3399999999999999,0.02,6.0,0.68,8.0,4.006666666666667,0.21666666666666667,0.33333333333333337,3.166666666666667,-3.0,0.6666666666666666,1.6833333333333333,-3.0,-6.0,5.030973036800839,3.309031251518548,3.7895912541447863
1.3399999999999999,0.02,6.0,0.68,8.0,4.006666666666667,0.21666666666666667,0.33333333333333337,3.166666666666667,-3.0,0.0,1.6833333333333333,-3.0,-6.0,4.836664440752212,3.2182259277341254,3.6105878732550933
1.3399999999999999,0.02,6.0,0.68,8.0,4.006666666666667,0.05,0.33333333333333337,3.166666666666667,-3.0,0.0,1.6833333333333333,-3.0,-6.0,5.028713172463166,3.5002620000437883,3.610557034856812
1.3399999999999999,0.02,2.0133333333333336,0.68,8.0,4.006666666666667,0.05,0.33333333333333337,3.166666666666667,-3.0,0.0,1.6833333333333333,-3.0,-6.0,5.025896257369328,3.4962139029847266,3.6105569562624718
1.3399999999999999,0.02,2.0133333333333336,0.68,8.0,4.006666666666667,0.05,0.33333333333333337,3.166666666666667,-3.0,0.0,1.6833333333333333,-3.0,-8.0,,,
0.02,0.02,2.0133333333333336,0.68,8.0,4.006666666666667,0.05,0.33333333333333337,3.166666666666667,-3.0,0.0,1.6833333333333333,-3.0,-8.0,,,
0.02,0.02,2.0133333333333336,0.68,8.0,4.006666666666667,0.05,0.33333333333333337,5.0,-3.0,0.0,1.6833333333333333,-3.0,-8.0,,,
0.02,5.34,2.0133333333333336,0.68,8.0,4.006666666666667,0.05,0.33333333333333337,5.0,-3.0,0.0,1.6833333333333333,-3.0,-8.0,,,
0.02,5.34,2.0133333333333336,0.68,8.0,0.02,0.05,0.33333333333333337,5.0,-3.0,0.0,1.6833333333333333,-3.0,-8.0,,,
0.02,5.34,2.0133333333333336,0.68,8.0,0.02,0.05,0.33333333333333337,5.0,-3.0,0.0,1.05,-3.0,-8.0,,,
0.02,5.34,2.0133333333333336,0.68,8.0,0.02,0.05,0.33333333333333337,5.0,-6.333333333333333,0.0,1.05,-3.0,-8.0,,,
0.02,2.6800000000000006,6.0,0.02,8.0,2.0133333333333336,0.05,1.0,3.166666666666667,-6.333333333333333,1.0,2.0,-4.666666666666667,-6.0,,,
0.02,2.6800000000000006,6.0,0.02,8.0,2.0133333333333336,0.05,1.0,5.0,-6.333333333333333,1.0,2.0,-4.666666666666667,-6.0,,,
0.02,2.6800000000000006,6.0,0.02,8.0,2.0133333333333336,0.05,0.33333333333333337,5.0,-6.333333333333333,1.0,2.0,-4.666666666666667,-6.0,,,
0.02,2.6800000000000006,6.0,0.02,2.6800000000000006,2.0133333333333336,0.05,0.33333333333333337,5.0,-6.333333333333333,1.0,2.0,-4.666666666666667,-6.0,,,
0.02,2.6800000000000006,2.0133333333333336,0.02,2.6800000000000006,2.0133333333333336,0.05,0.33333333333333337,5.0,-6.333333333333333,1.0,2.0,-4.666666666666667,-6.0,,,
0.02,2.6800000000000006,2.0133333333333336,0.02,2.6800000000000006,2.0133333333333336,0.05,0.33333333333333337,5.0,-6.333333333333333,1.0,2.0,-8.0,-6.0,,,
0.02,2.6800000000000006,2.0133333333333336,0.02,2.6800000000000006,2.0133333333333336,0.05,0.33333333333333337,5.0,-6.333333333333333,0.33333333333333337,2.0,-8.0,-6.0,,,
0.02,2.6800000000000006,2.0133333333333336,0.02,2.6800000000000006,2.0133333333333336,0.05,0.33333333333333337,5.0,-3.0,0.33333333333333337,2.0,-8.0,-6.0,,,
0.02,2.6800000000000006,2.0133333333333336,0.02,2.6800000000000006,6.0,0.05,0.33333333333333337,5.0,-3.0,0.33333333333333337,2.0,-8.0,-6.0,,,
1.3399999999999999,2.6800000000000006,2.0133333333333336,0.02,2.6800000000000006,6.0,0.05,0.33333333333333337,5.0,-3.0,0.33333333333333337,2.0,-8.0,-6.0,,,
1.3399999999999999,2.6800000000000006,2.0133333333333336,1.3399999999999999,2.6800000000000006,6.0,0.05,0.33333333333333337,5.0,-3.0,0.33333333333333337,2.0,-8.0,-6.0,,,
